受试编号,组别,观看顺序,设计代号,内容类型,问答1得分,问答2得分,答对题数,正确率,获取信息效率_Q1,获取信息效率_Q2,获取信息效率_均值,可读性_Q1,可读性_Q2,可读性_均值,吸引力_Q1,吸引力_Q2,吸引力_均值,主观_综合评价,主观_总分,主观_总分均值,总注视时长_标题层,总注视时长_要点层,总注视时长_详情层,总注视时长_关键图片,注视次数_标题层,注视次数_要点层,注视次数_详情层,注视次数_关键图片,注视时长占比_标题层,注视时长占比_要点层,注视时长占比_详情层,注视时长占比_关键图片,首次注视时间_标题层,首次注视时间_要点层,首次注视时间_详情层,首次注视时间_关键图片,平均注视时长_标题层,平均注视时长_要点层,平均注视时长_详情层,平均注视时长_关键图片,平均瞳孔直径_mm,最小瞳孔直径_mm,最大瞳孔直径_mm,眨眼次数,平均眨眼频率_per_s,扫视次数,平均扫视频率_per_s,总扫视时间_s,平均眼跳水平距离_px,平均眼跳垂直距离_px,平均眼跳绝对距离_px
SIM001,组1,1,A,造山运动,0,0,0,0.0,4,3,3.5,4,1,2.5,3,5,4.0,4,24,3.43,2.244,0.859,4.009,3.786,10,3,20,14,18.2922,7.00223,32.67978,30.86197,6.853,7.378,5.467,2.013,0.2244,0.2863,0.2005,0.2704,2.5242,1.9406,3.1035,3,0.05,164,2.7333,10.932,195.118,143.624,242.279
SIM001,组1,2,F,红果仔,0,5,1,0.5,4,3,3.5,4,3,3.5,2,3,2.5,3,22,3.14,1.05,6.072,5.203,4.3,5,20,20,17,4.68386,27.08612,23.20966,19.18154,2.85,0.271,8.47,10.719,0.21,0.3036,0.2601,0.2529,2.8792,2.3293,3.4124,27,0.45,119,1.9833,19.175,213.108,129.714,249.481
SIM001,组1,3,Z,白鹈鹕(锚点),5,0,1,0.5,4,3,3.5,4,3,3.5,3,4,3.5,2,23,3.29,2.476,1.589,4.067,4.339,11,9,18,23,15.41857,9.89503,25.32605,27.01986,8.965,4.524,1.395,11.612,0.2251,0.1766,0.2259,0.1887,2.4795,1.9905,2.7976,1,0.0167,187,3.1167,24.639,237.187,133.948,272.397
SIM001,组1,4,C,红耳鹎,0,0,0,0.0,1,2,1.5,3,2,2.5,3,3,3.0,3,17,2.43,4.391,3.945,2.384,5.185,21,20,10,18,24.24486,21.78228,13.16323,28.62892,2.845,6.659,11.453,11.408,0.2091,0.1972,0.2384,0.2881,2.5579,2.2014,3.3642,26,0.4333,246,4.1,23.475,238.686,105.299,260.881
SIM002,组1,1,Z,白鹈鹕(锚点),5,5,2,1.0,2,2,2.0,4,4,4.0,4,4,4.0,2,22,3.14,0.637,2.66,1.525,5.735,3,12,7,22,4.31378,18.0136,10.32734,38.83758,7.631,4.508,6.541,3.912,0.2123,0.2217,0.2179,0.2607,2.6146,2.1368,2.9583,35,0.5833,170,2.8333,25.235,111.794,84.885,140.368
SIM002,组1,2,F,红果仔,0,5,1,0.5,4,3,3.5,4,4,4.0,3,2,2.5,3,23,3.29,2.942,4.507,6.712,7.244,17,21,22,23,11.44544,17.53385,26.11209,28.18176,3.551,2.374,5.521,2.252,0.1731,0.2146,0.3051,0.315,2.7209,2.1413,3.1404,26,0.4333,115,1.9167,15.765,117.726,118.467,167.014
SIM002,组1,3,A,造山运动,0,5,1,0.5,4,4,4.0,4,4,4.0,4,5,4.5,4,29,4.14,1.092,2.544,3.125,3.975,4,10,14,19,7.95425,18.53078,22.76285,28.95435,3.761,9.947,6.653,5.803,0.273,0.2544,0.2232,0.2092,2.779,2.3615,3.3645,20,0.3333,137,2.2833,26.78,106.904,129.276,167.752
SIM002,组1,4,C,红耳鹎,0,5,1,0.5,4,1,2.5,3,2,2.5,3,3,3.0,3,19,2.71,3.557,2.972,2.221,6.703,19,12,7,23,14.1243,11.80135,8.81925,26.61658,1.281,9.163,1.319,8.284,0.1872,0.2477,0.3173,0.2914,2.7262,2.3736,3.2553,3,0.05,271,4.5167,16.405,126.088,89.258,154.483
SIM003,组1,1,C,红耳鹎,5,5,2,1.0,4,3,3.5,2,4,3.0,4,4,4.0,3,24,3.43,5.441,5.922,4.285,3.647,24,21,16,18,18.89277,20.56294,14.87879,12.66347,5.687,0.764,0.456,6.631,0.2267,0.282,0.2678,0.2026,2.0342,1.6802,2.7088,29,0.4833,139,2.3167,23.451,150.008,104.375,182.747
SIM003,组1,2,A,造山运动,5,5,2,1.0,3,3,3.0,4,2,3.0,4,4,4.0,3,23,3.29,5.256,2.986,7.322,6.917,17,16,24,23,18.52218,10.52268,25.80277,24.37555,8.295,10.264,6.756,9.629,0.3092,0.1866,0.3051,0.3007,2.3831,2.132,3.014,15,0.25,257,4.2833,20.39,195.103,77.69,210.002
