设计,内容,层级,注视时长占比,面积占比,密度比
A,造山运动,标题层,18.05,14.0,1.289
B,造山运动,标题层,19.86,14.0,1.418
C,红耳鹎,标题层,17.91,14.0,1.279
D,红耳鹎,标题层,19.28,4.0,4.819
E,红耳鹎,标题层,14.3,4.0,3.576
F,红果仔,标题层,14.1,4.0,3.525
G,红果仔,标题层,14.04,14.0,1.003
H,红果仔,标题层,19.21,4.0,4.804
Z,白鹈鹕(锚点),标题层,17.47,2.13,8.2
A,造山运动,要点层,14.96,4.0,3.741
B,造山运动,要点层,19.17,14.0,1.37
C,红耳鹎,要点层,15.96,4.0,3.989
D,红耳鹎,要点层,19.3,14.0,1.378
E,红耳鹎,要点层,20.24,14.0,1.445
F,红果仔,要点层,16.79,4.0,4.197
G,红果仔,要点层,16.52,14.0,1.18
H,红果仔,要点层,16.22,4.0,4.055
Z,白鹈鹕(锚点),要点层,18.12,3.22,5.628
A,造山运动,详情层,21.61,34.0,0.636
B,造山运动,详情层,16.44,17.0,0.967
C,红耳鹎,详情层,19.08,17.0,1.123
D,红耳鹎,详情层,17.27,34.0,0.508
E,红耳鹎,详情层,17.79,17.0,1.046
F,红果仔,详情层,20.76,34.0,0.611
G,红果仔,详情层,18.76,3.0,6.254
H,红果仔,详情层,16.02,3.0,5.34
Z,白鹈鹕(锚点),详情层,15.87,14.72,1.078
A,造山运动,关键图片,17.57,17.0,1.033
B,造山运动,关键图片,16.57,17.0,0.975
C,红耳鹎,关键图片,16.23,38.0,0.427
D,红耳鹎,关键图片,16.68,17.0,0.981
E,红耳鹎,关键图片,14.05,38.0,0.37
F,红果仔,关键图片,17.86,38.0,0.47
G,红果仔,关键图片,20.58,38.0,0.541
H,红果仔,关键图片,20.21,17.0,1.189
Z,白鹈鹕(锚点),关键图片,18.62,4.79,3.888
